GOLD TRANSFORMATIONS,*denotes derived field,,,,,,,,,,
copy from bronze asses,copy from bronze asses,copy from bronze asses,copy from bronze asses,copy from bronze asses,copy from bronze asses,includes any join clauses notating primary table and secondary table,,,,,
SILVER_DATA,TCM_SILVER,MASTER_ORDERS_TABLE_SILVER,Customer_ID_Bill-To,,,,Customer_ID_Bill-To,TEXT(6),,,
SILVER_DATA,TCM_SILVER,MASTER_ORDERS_TABLE_SILVER,Customer_Purchase_Order_ID,,,,Customer_Purchase_Order_ID,TEXT(25),,,
SILVER_DATA,TCM_SILVER,MASTER_ORDERS_TABLE_SILVER,Employee_ID_TCM_Sales_Rep,,,,Employee_ID_TCM_Sales_Rep,TEXT(3),,,
SILVER_DATA,TCM_SILVER,MASTER_ORDERS_TABLE_SILVER,Employee_ID_User_Add_Order,,,,Employee_ID_User_Add_Order,TEXT(3),,,
SILVER_DATA,TCM_SILVER,MASTER_ORDERS_TABLE_SILVER,Employee_ID_User_Add_Order_Comment_Operations,,,,Employee_ID_User_Add_Order_Comment_Operations,TEXT(3),,,
SILVER_DATA,TCM_SILVER,MASTER_ORDERS_TABLE_SILVER,Employee_ID_User_Change_Order_Comment_Operations,,,,Employee_ID_User_Change_Order_Comment_Operations,TEXT(3),,,
SILVER_DATA,TCM_SILVER,MASTER_ORDERS_TABLE_SILVER,Employee_ID_User_Add_Order_Comment_CX,,,,Employee_ID_User_Add_Order_Comment_CX,TEXT(3),,,
SILVER_DATA,TCM_SILVER,MASTER_ORDERS_TABLE_SILVER,Employee_ID_User_Change_Order_Comment_CX,,,,Employee_ID_User_Change_Order_Comment_CX,TEXT(3),,,
SILVER_DATA,TCM_SILVER,MASTER_ORDERS_TABLE_SILVER,Customer_ID_Ship-To,join key to bring in customer attributes,,,Customer_ID_Ship-To,TEXT(16777216),,,
SILVER_DATA,TCM_SILVER,INVOICE_MASTER_SILVER,Order_ID,join key,,,,"NUMBER(8,0)",,,
SILVER_DATA,TCM_SILVER,INVOICE_MASTER_SILVER,Order_Line_Sequence,join key,,,,"NUMBER(4,0)",,,
SILVER_DATA,TCM_SILVER,INVOICE_MASTER_SILVER,Invoice_ID,,,aggregated to get distinct # of Invoices by item and order line,Invoice_Count,"NUMBER(8,0)",,,
SILVER_DATA,TCM_SILVER,INVOICE_MASTER_SILVER,Quantity_Shipped,,,aggreagted to get invoiced value in units,Invoice_Unit_Quantity,"NUMBER(8,0)",,,
SILVER_DATA,TCM_SILVER,INVOICE_MASTER_SILVER,Total_Price,,,aggreagted to get invoiced value in $,Invoice_Value,"NUMBER(10,2)",,,
SILVER_DATA,TCM_SILVER,SHIPMENT_MASTER_SILVER,Shipment_ID,,,aggregated to get disctinct # of Shipments,Shipment_Count,"NUMBER(9,0)",,,
SILVER_DATA,TCM_SILVER,SHIPMENT_MASTER_SILVER,Order_ID,join key,,,,"NUMBER(8,0)",,,
SILVER_DATA,TCM_SILVER,SHIPMENT_MASTER_SILVER,Item_ID_Child_SKU,,,,Shipped_Item_ID_Child_SKU,TEXT(30),,,
SILVER_DATA,TCM_SILVER,SHIPMENT_MASTER_SILVER,Shipped_Quantity,,,,Shipped_Quantity,"NUMBER(8,0)",,,
SILVER_DATA,TCM_SILVER,SHIPMENT_MASTER_SILVER,Date_Shipped,,,,Date_Shipped,TIMESTAMP_NTZ(9),,,
SILVER_DATA,TCM_SILVER,SHIPMENT_MASTER_SILVER,Shipment_Method_Description,,,,Shipment_Method_Description,TEXT(15),,,
SILVER_DATA,TCM_SILVER,SHIPMENT_MASTER_SILVER,Shipment_Method_Code,,,,Shipment_Method_Code,"NUMBER(2,0)",,,
